user_id,transaction_date,region,product_category,sale_amount,city,age,subscription,price,status,email,username,raw_timestamp,store_id,revenue
1327,2026-01-29,North,Furniture,4512,Chennai,24,Premium,11387,Completed,user1327@example.com,,2026-01-29 02:13:00,8,4512
1258,2026-06-04,North,Books,3757,Kolkata,30,Basic,9954,Completed,user1258@example.com,user1258,2026-06-04 13:21:00,9,3757
1079,2026-02-25,East,Electronics,2019,Kolkata,22,Basic,5935,Cancelled,user1079@example.com,user1079,2026-02-25 17:07:00,13,2019
1040,2026-05-22,East,Books,6425,Chennai,20,Premium,11134,Cancelled,user1040@example.com,user1040,2026-05-22 03:24:00,9,6425
1232,2026-06-12,East,Clothing,6565,Pune,29,Basic,11798,Pending,user1232@example.com,user1232,2026-06-12 14:24:00,9,6565
1327,2026-06-26,South,Furniture,1416,Chennai,18,Basic,6872,Completed,user1327@example.com,user1327,2026-06-26 22:20:00,7,1416
1335,2026-05-08,West,Groceries,2840,Bengaluru,24,Premium,9497,Cancelled,user1335@example.com,user1335,2026-05-08 18:25:00,12,2840
1112,2026-02-05,West,Electronics,1271,Delhi,25,Premium,11449,Completed,user1112@example.com,user1112,2026-02-05 14:33:00,9,1271
1283,2026-01-03,North,Books,4871,Pune,23,Basic,7423,,,user1283,2026-01-03 23:16:00,17,4871
1390,2026-02-15,North,Furniture,8817,Chennai,25,Basic,2946,Completed,user1390@example.com,user1390,2026-02-15 03:59:00,12,8817
1157,2026-03-03,North,Clothing,9795,Delhi,21,Basic,1433,Pending,user1157@example.com,user1157,2026-03-03 17:10:00,9,9795
1270,2026-06-05,West,Clothing,9335,Chennai,35,Basic,11304,,user1270@example.com,user1270,2026-06-05 07:14:00,3,9335
1173,2026-01-06,South,Books,4108,Hyderabad,20,Premium,4050,Completed,user1173@example.com,user1173,2026-01-06 07:17:00,16,4108
1109,2026-05-19,South,Books,9940,Ahmedabad,31,Basic,6969,Completed,user1109@example.com,user1109,2026-05-19 13:26:00,15,9940
1373,2026-01-14,North,Electronics,7096,Pune,22,Premium,3439,,user1373@example.com,user1373,2026-01-14 14:15:00,3,7096
1226,2026-05-21,North,Electronics,9356,Hyderabad,21,Premium,3024,,user1226@example.com,user1226,2026-05-21 01:10:00,13,9356
1001,2026-04-10,East,Groceries,5173,Kolkata,60,Basic,2836,Cancelled,user1001@example.com,user1001,2026-04-10 23:34:00,2,5173
1382,2026-03-22,North,Electronics,8311,Mumbai,19,Premium,3344,Completed,user1382@example.com,user1382,2026-03-22 03:56:00,19,8311
1126,2026-05-29,North,Books,1843,Kolkata,58,Basic,4572,Cancelled,user1126@example.com,user1126,2026-05-29 21:41:00,10,1843
